"Sample IDs","Animal IDs","Months","Dilutions","Assay","Reaction","Threshold","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"S-1066","B-204",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.63717366354586,0.0908554820718729,72,0.0138888888888889,FALSE
"S-1067","B-206",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.51405351502534,0.913032850487246,68.5258695330969,0.0146215201150201,TRUE
"S-1067","B-206",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.63239291910141,0.107613517428288,72,0.0138888888888889,FALSE
"S-1068","B-199",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.71186692338945,0.307381269483521,67.6379166666667,0.0148869885878498,FALSE
"S-1068","B-199",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.59829544116246,0.0835564409979304,72,0.0138888888888889,FALSE
"S-1069","Y-23",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.31015995332852,0.10878831013239,72,0.0138888888888889,FALSE
"S-1069","Y-23",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.59814042050015,0.0845055024755047,72,0.0138888888888889,FALSE
"S-1070","B-158",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.93247056738222,0.8481928106473,68.3956606765328,0.0147358974117022,FALSE
"S-1070","B-158",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.59024133898212,0.0898614114782313,72,0.0138888888888889,FALSE
"S-1071","B-161",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,11.1267775346003,5.43403855662243,8.04973218868222,0.125426737286915,TRUE
"S-1071","B-161",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,11.0540335474763,6.17831505377806,14.4981262132056,0.0691804795646485,TRUE
"S-1072","B-119",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.22386262406399,0.507631334583774,64.9553337696335,0.0161216503133758,FALSE
"S-1072","B-119",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.58895148835144,0.143083564375637,72,0.0138888888888889,FALSE
"S-1073","B-120",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.49687556568168,0.262466429465269,68.4809742647059,0.0147326746131989,FALSE
"S-1073","B-120",51,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.68956953066686,0.100894309017095,72,0.0138888888888889,FALSE
"S-1074","O-37",51,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.17266742174033,0.125189953016687,72,0.0138888888888889,FALSE
