"Sample IDs","Dilutions","MPR","MS","TtT","RAF","Animal IDs","Months","Assay","crossed"
"N",-3,1.17608695652174,0.678261333333333,72,0.0138888888888889,NA,NA,"RT-QuIC",FALSE
"S-1329",-1,1.12826086956522,0.701449333333333,72,0.0138888888888889,"O-39",0,"RT-QuIC",FALSE
"S-1332",-1,1.18614718614719,0.683982666666667,72,0.0138888888888889,"B-167",0,"RT-QuIC",FALSE
"S-1333",-1,1.19870410367171,0.659466666666667,72,0.0138888888888889,"B-204",0,"RT-QuIC",FALSE
"S-1335",-1,1.15010570824524,0.6568,72,0.0138888888888889,"B-121",0,"RT-QuIC",FALSE
"S-1376",-1,1.14655172413793,0.635057333333333,72,0.0138888888888889,"B-167",21,"RT-QuIC",FALSE
"S-1459",-1,1.19957081545064,0.706724,72,0.0138888888888889,"1942",33,"RT-QuIC",FALSE
"S-1467",-1,4.66382978723404,1.53758866666667,51.5494505494505,0.0193988488595182,"1904",33,"RT-QuIC",TRUE
"S-1469",-1,8.88059701492537,2.88841493333333,24.8318713450292,0.040270827200471,"Y-15",33,"RT-QuIC",TRUE
"S-1470",-1,6.81140350877193,3.64327506666667,18.6872852233677,0.053512320706142,"B-204",33,"RT-QuIC",TRUE
"S-1471",-1,1.1685393258427,0.716105333333333,72,0.0138888888888889,"B-206",33,"RT-QuIC",FALSE
"S-1483",-1,1.14022988505747,0.711110666666667,72,0.0138888888888889,"B-121",36,"RT-QuIC",FALSE
"N",-3,1.18485523385301,0.653304,72,0.0138888888888889,NA,NA,"RT-QuIC",FALSE
"S-1329",-1,1.09915611814346,0.672292666666667,72,0.0138888888888889,"O-39",0,"RT-QuIC",FALSE
"S-1332",-1,1.13943355119826,0.595497333333333,72,0.0138888888888889,"B-167",0,"RT-QuIC",FALSE
"S-1333",-1,1.17682926829268,0.6043356,72,0.0138888888888889,"B-204",0,"RT-QuIC",FALSE
"S-1335",-1,1.1407249466951,0.5828,72,0.0138888888888889,"B-121",0,"RT-QuIC",FALSE
"S-1376",-1,1.16666666666667,0.675325333333333,72,0.0138888888888889,"B-167",21,"RT-QuIC",FALSE
"S-1459",-1,1.13304721030043,0.635193333333333,72,0.0138888888888889,"1942",33,"RT-QuIC",FALSE
"S-1467",-1,5.08528784648188,2.39658853333333,19.6647727272727,0.0508523548107483,"1904",33,"RT-QuIC",TRUE
"S-1469",-1,1.13319238900634,0.648344,72,0.0138888888888889,"Y-15",33,"RT-QuIC",FALSE
"S-1470",-1,1.1832229580574,0.644592,72,0.0138888888888889,"B-204",33,"RT-QuIC",FALSE
"S-1471",-1,1.12931034482759,0.655173066666667,72,0.0138888888888889,"B-206",33,"RT-QuIC",FALSE
"S-1483",-1,1.1606334841629,0.687782666666667,72,0.0138888888888889,"B-121",36,"RT-QuIC",FALSE
"N",-3,1.12882096069869,0.605530666666667,72,0.0138888888888889,NA,NA,"RT-QuIC",FALSE
"S-1329",-1,1.1358574610245,0.662212,72,0.0138888888888889,"O-39",0,"RT-QuIC",FALSE
"S-1332",-1,1.26282051282051,0.660968,72,0.0138888888888889,"B-167",0,"RT-QuIC",FALSE
"S-1333",-1,1.13135593220339,0.635593333333333,72,0.0138888888888889,"B-204",0,"RT-QuIC",FALSE
"S-1335",-1,5.73291925465838,2.19461706666667,57.6634615384615,0.0173420043355011,"B-121",0,"RT-QuIC",TRUE
"S-1376",-1,3.99089253187614,1.32604733333333,52.9093137254902,0.0189002640478066,"B-167",21,"RT-QuIC",TRUE
"S-1459",-1,1.1137339055794,0.615164,72,0.0138888888888889,"1942",33,"RT-QuIC",FALSE
"S-1467",-1,1.09327548806941,0.587129333333333,72,0.0138888888888889,"1904",33,"RT-QuIC",FALSE
"S-1469",-1,3.27861771058315,1.4686824,39.6341853035144,0.0252307444278747,"Y-15",33,"RT-QuIC",TRUE
"S-1470",-1,1.1216814159292,0.578170666666666,72,0.0138888888888889,"B-204",33,"RT-QuIC",FALSE
"S-1471",-1,1.16400911161731,0.649962666666667,72,0.0138888888888889,"B-206",33,"RT-QuIC",FALSE
"S-1483",-1,1.17102137767221,0.709422666666667,72,0.0138888888888889,"B-121",36,"RT-QuIC",FALSE
"N",-3,1.17173913043478,0.588405333333333,72,0.0138888888888889,NA,NA,"RT-QuIC",FALSE
"S-1329",-1,1.1651376146789,0.620794666666666,72,0.0138888888888889,"O-39",0,"RT-QuIC",FALSE
"S-1332",-1,1.20045045045045,0.645645333333333,72,0.0138888888888889,"B-167",0,"RT-QuIC",FALSE
"S-1333",-1,1.37946428571429,0.654761333333333,72,0.0138888888888889,"B-204",0,"RT-QuIC",FALSE
"S-1335",-1,1.23873873873874,0.606606666666667,72,0.0138888888888889,"B-121",0,"RT-QuIC",FALSE
"S-1376",-1,1.16666666666667,0.624624,72,0.0138888888888889,"B-167",21,"RT-QuIC",FALSE
