Sample IDs,MNPRO ID,Animal IDs,Months
2185,3380,1942,18 MPI
2186,3580,B-155,24 MPI
2187,3565,1904,24 MPI
2188,3563,Y-16,24 MPI
2189,3577,O-37,24 MPI
2190,3522,1946,24 MPI
2191,3579,B-109,24 MPI
2192,3576,B-120,24 MPI
2193,3395,1943,24 MPI
2194,3575,B-119,24 MPI
2195,3535,Y-18,24 MPI
2196,3380,1942,30 MPI
2197,3560,1901,30 MPI
2198,3560,1901,33 MPI
2199,3561,1941,39 MPI
2200,3560,1901,39 MPI
2201,3561,1941,42 MPI
2202,3560,1901,42 MPI
2203,3560,1901,45 MPI
2204,,B-146,36 MPI
2205,,B-112,36 MPI
2206,,1901,36 MPI
2207,,Y-16,36 MPI
2208,,Y-18,36 MPI
2209,,1943,36 MPI
2210,,Y-15,36 MPI
2211,,B-204,36 MPI
2212,,B-206,36 MPI
2213,,B-199,36 MPI
2214,,Y-23,36 MPI
2215,,B-158,36 MPI
2216,,B-161,36 MPI
2217,,B-119,36 MPI
2218,,B-120,36 MPI
2219,,O-37,36 MPI
2220,,1946,36 MPI
2221,,B-109,36 MPI
2222,,B-155,36 MPI
2223,,1941,36 MPI
2224,,B-121,36 MPI
2225,,B-146,48 MPI
2226,,1901,48 MPI
2227,,1941,48 MPI
2228,,Y-16,48 MPI
2229,,Y-15,48 MPI
2230,,B-204,48 MPI
2231,,B-206,48 MPI
2232,,B-199,48 MPI
2233,,Y-23,48 MPI
2234,,B-158,48 MPI
2235,,B-161,48 MPI
2236,,B-119,48 MPI
2237,,B-120,48 MPI
2238,,O-37,48 MPI
2239,,1946,48 MPI
2240,,B-109,48 MPI
2241,,B-155,48 MPI
2242,,1901,51 MPI
2243,,Y-15,60 MPI
2244,,B-204,60 MPI
2245,,B-206,60 MPI
2246,,B-199,60 MPI
2247,,Y-23,60 MPI
2248,,B-158,60 MPI
2249,,B-161,60 MPI
2250,,B-119,60 MPI
2251,,B-120,60 MPI
2252,,O-37,60 MPI
2253,,1946,60 MPI
2254,,B-109,60 MPI
2255,,B-155,60 MPI
