"Sample IDs","Dilutions","Assay","Tissue","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"1901",-4,"Nano-QuIC","OBEX",4,11.3772059366577,5.06109876666667,5.36785027897458,0.186943073327649,TRUE
"1901",-4,"RT-QuIC","OBEX",4,12.4183155996502,9.55971666666667,6.54497597314873,0.161796832101146,TRUE
"1901",-3,"Nano-QuIC","OBEX",4,8.06776413405686,3.2430162,6.07942198062148,0.167904637508187,TRUE
"1901",-3,"Nano-QuIC","RAMALT",4,10.9020336253401,4.19136143333333,9.72546265104849,0.103458600952973,TRUE
"1901",-3,"Nano-QuIC","RPLN",4,9.56103068387743,3.01190456666667,13.7981831147965,0.0725685305761801,TRUE
"1901",-3,"RT-QuIC","OBEX",4,9.57654991944686,3.52975296666667,47.8783333333333,0.0280669889893925,FALSE
"1901",-3,"RT-QuIC","RAMALT",4,15.1568262557548,9.36082206666667,15.8718568986584,0.0634348457358989,TRUE
"1901",-3,"RT-QuIC","RPLN",4,11.3207032946213,9.0702514,21.2024312056429,0.0473836547725255,TRUE
"1901",-2,"Nano-QuIC","RAMALT",4,5.87644666276621,2.36768436666667,25.0378366174056,0.0404626466666376,TRUE
"1901",-2,"Nano-QuIC","RPLN",4,6.89036319579398,2.4411964,20.6165242165242,0.0552538517770897,TRUE
"1901",-2,"RT-QuIC","RAMALT",4,27.7455383169838,10.1712751333333,20.1131880574136,0.0498946305232055,TRUE
"1901",-2,"RT-QuIC","RPLN",4,1.11607692520258,0.817245766666667,72,0.0138888888888889,FALSE
"1904",-4,"Nano-QuIC","OBEX",4,11.8888293508035,5.47363233333333,5.74741568122888,0.179249935893191,TRUE
"1904",-4,"RT-QuIC","OBEX",4,13.3461894281371,10.7875150666667,6.16259897402298,0.164349144855973,TRUE
"1904",-3,"Nano-QuIC","OBEX",4,10.7315844988347,3.12884716666667,7.9876824418514,0.127130235015928,TRUE
"1904",-3,"Nano-QuIC","RAMALT",4,9.52913389861766,3.8908715,8.13056293869621,0.12412123494768,TRUE
"1904",-3,"Nano-QuIC","RPLN",4,11.4897700759238,3.9520568,8.32220081307982,0.121926599108756,TRUE
"1904",-3,"RT-QuIC","OBEX",4,1.05262793635435,0.642542,72,0.0138888888888889,FALSE
"1904",-3,"RT-QuIC","RAMALT",4,13.7010932454349,8.12336916666667,15.3589425200271,0.0663703679176279,TRUE
"1904",-3,"RT-QuIC","RPLN",4,14.2747353921435,9.11579683333333,17.8758369039136,0.0566445572407879,TRUE
"1904",-2,"Nano-QuIC","RAMALT",4,8.60680640527769,2.3842394,17.3813946174932,0.0625615480775016,TRUE
"1904",-2,"Nano-QuIC","RPLN",4,11.1955681650899,2.69234643333333,11.705098246143,0.0863337917423463,TRUE
"1904",-2,"RT-QuIC","RAMALT",4,21.7055811285661,6.6489426,27.9700164653446,0.0364136276202827,TRUE
"1904",-2,"RT-QuIC","RPLN",4,1.13643155450715,0.869832666666667,72,0.0138888888888889,FALSE
"1905",-4,"Nano-QuIC","OBEX",4,9.86508698375279,5.16201786666667,6.89342736981584,0.145701025109933,TRUE
"1905",-4,"RT-QuIC","OBEX",4,10.0090284035343,5.34654353333333,8.65167985607654,0.120791095988704,TRUE
"1905",-3,"Nano-QuIC","OBEX",4,14.2125128366019,6.05949013333333,8.7201052399761,0.115508504600484,TRUE
"1905",-3,"Nano-QuIC","RPLN",4,10.7553545864691,3.81654923333333,6.62560339378136,0.152314829156018,TRUE
"1905",-3,"RT-QuIC","OBEX",4,1.09718376597435,0.553164233333333,72,0.0138888888888889,FALSE
"1905",-3,"RT-QuIC","RPLN",4,9.62939154825992,4.89046673333333,15.3311670788541,0.0663514630202115,TRUE
"1905",-2,"Nano-QuIC","RPLN",4,11.0857505523425,3.92716163333333,11.7381841820758,0.0853640876387554,TRUE
"1905",-2,"RT-QuIC","RPLN",4,22.0211183565057,11.8346527,24.1149057750401,0.0438965923270279,TRUE
"1941",-4,"Nano-QuIC","OBEX",4,9.46476811880267,4.78617773333333,5.44739098961005,0.190182914236661,TRUE
"1941",-4,"RT-QuIC","OBEX",4,9.97994160670583,5.10950683333333,7.49795912289507,0.136585853959776,TRUE
"1941",-3,"Nano-QuIC","OBEX",4,8.53503045797872,3.93082323333333,4.55972264991554,0.219959952517625,TRUE
"1941",-3,"Nano-QuIC","RAMALT",4,10.2260950588528,4.009871,9.56704691431689,0.104598518100009,TRUE
"1941",-3,"Nano-QuIC","RPLN",4,10.0090234115601,3.6676835,8.57092602911344,0.117020769831181,TRUE
"1941",-3,"RT-QuIC","OBEX",4,9.218115907903,5.34898456666667,6.78772366484192,0.157325766010352,TRUE
"1941",-3,"RT-QuIC","RAMALT",4,17.2853447173915,9.28106186666667,12.5017768236815,0.0804342096793665,TRUE
"1941",-3,"RT-QuIC","RPLN",4,13.3368307864143,7.5252342,13.4930253601661,0.074722232966693,TRUE
"1941",-2,"Nano-QuIC","RAMALT",4,10.6574818808198,2.85249903333333,19.2205657801598,0.0523434589831702,TRUE
"1941",-2,"Nano-QuIC","RPLN",4,7.79199977199211,2.6757198,10.2176676947807,0.0983959306881403,TRUE
"1941",-2,"RT-QuIC","RAMALT",4,13.7694103928156,1.77226916666667,44.8574344386235,0.0262790506475626,TRUE
"1941",-2,"RT-QuIC","RPLN",4,18.461230130481,12.1764955,54.7511645962733,0.0216804483982074,FALSE
"1942",-4,"Nano-QuIC","OBEX",4,11.1679926668526,5.18575153333333,6.00624124012681,0.167611375422333,TRUE
