"Sample IDs","Dilutions","Assay","Tissue","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"1901",-4,"Nano-QuIC","OBEX",4,11.3772059366577,5.06109876666667,5.09196256974365,0.198048250425553,TRUE
"1901",-4,"RT-QuIC","OBEX",4,12.4183155996502,9.55971666666667,6.22999399328718,0.168896616838134,TRUE
"1901",-3,"Nano-QuIC","OBEX",4,8.06776413405686,3.2430162,5.97298049515537,0.170723207753389,TRUE
"1901",-3,"Nano-QuIC","RAMALT",4,10.9020336253401,4.19136143333333,9.46261566276212,0.106329793513725,TRUE
"1901",-3,"Nano-QuIC","RPLN",4,9.56103068387743,3.01190456666667,13.5276707786991,0.0740292305583377,TRUE
"1901",-3,"RT-QuIC","OBEX",4,9.57654991944686,3.52975296666667,47.6414583333333,0.0284959075827994,FALSE
"1901",-3,"RT-QuIC","RAMALT",4,15.1568262557548,9.36082206666667,15.4992142246646,0.065022539499923,TRUE
"1901",-3,"RT-QuIC","RPLN",4,11.3207032946213,9.0702514,20.8631078014107,0.0481434456616118,TRUE
"1901",-2,"Nano-QuIC","RAMALT",4,5.87644666276621,2.36768436666667,24.6813341543514,0.0410171039503727,TRUE
"1901",-2,"Nano-QuIC","RPLN",4,6.89036319579398,2.4411964,20.1541310541311,0.0562991419288276,TRUE
"1901",-2,"RT-QuIC","RAMALT",4,27.7455383169838,10.1712751333333,19.5595470143534,0.0513446996159835,TRUE
"1901",-2,"RT-QuIC","RPLN",4,1.11607692520258,0.817245766666667,72,0.0138888888888889,FALSE
"1904",-4,"Nano-QuIC","OBEX",4,11.8888293508035,5.47363233333333,5.42122892030722,0.188769741914855,TRUE
"1904",-4,"RT-QuIC","OBEX",4,13.3461894281371,10.7875150666667,5.80627474350574,0.173603805981043,TRUE
"1904",-3,"Nano-QuIC","OBEX",4,10.7315844988347,3.12884716666667,7.48129561046285,0.136616317339361,TRUE
"1904",-3,"Nano-QuIC","RAMALT",4,9.52913389861766,3.8908715,7.79826573467405,0.128983574365487,TRUE
"1904",-3,"Nano-QuIC","RPLN",4,11.4897700759238,3.9520568,7.93992520326995,0.127482359766824,TRUE
"1904",-3,"RT-QuIC","OBEX",4,1.05262793635435,0.642542,72,0.0138888888888889,FALSE
"1904",-3,"RT-QuIC","RAMALT",4,13.7010932454349,8.12336916666667,14.9491106300068,0.0684067464494985,TRUE
"1904",-3,"RT-QuIC","RPLN",4,14.2747353921435,9.11579683333333,17.6877092259784,0.0573320273557009,TRUE
"1904",-2,"Nano-QuIC","RAMALT",4,8.60680640527769,2.3842394,17.0484736543733,0.0643348830382109,TRUE
"1904",-2,"Nano-QuIC","RPLN",4,11.1955681650899,2.69234643333333,11.4575245615358,0.0881716071718605,TRUE
"1904",-2,"RT-QuIC","RAMALT",4,21.7055811285661,6.6489426,27.5706291163361,0.0369330368624133,TRUE
"1904",-2,"RT-QuIC","RPLN",4,1.13643155450715,0.869832666666667,72,0.0138888888888889,FALSE
"1905",-4,"Nano-QuIC","OBEX",4,9.86508698375279,5.16201786666667,6.64523184245396,0.151154091400258,TRUE
"1905",-4,"RT-QuIC","OBEX",4,10.0090284035343,5.34654353333333,8.35041996401914,0.124546594010236,TRUE
"1905",-3,"Nano-QuIC","OBEX",4,14.2125128366019,6.05949013333333,8.32065130999403,0.121016177613814,TRUE
"1905",-3,"Nano-QuIC","RPLN",4,10.7553545864691,3.81654923333333,6.29702584844534,0.160245107000404,TRUE
"1905",-3,"RT-QuIC","OBEX",4,1.09718376597435,0.553164233333333,72,0.0138888888888889,FALSE
"1905",-3,"RT-QuIC","RPLN",4,9.62939154825992,4.89046673333333,14.9890417697135,0.0679923864640133,TRUE
"1905",-2,"Nano-QuIC","RPLN",4,11.0857505523425,3.92716163333333,11.653296045519,0.0860086506760947,TRUE
"1905",-2,"RT-QuIC","RPLN",4,22.0211183565057,11.8346527,23.84122644376,0.0444360279212124,TRUE
"1941",-4,"Nano-QuIC","OBEX",4,9.46476811880267,4.78617773333333,5.25247274740251,0.197233398408808,TRUE
"1941",-4,"RT-QuIC","OBEX",4,9.97994160670583,5.10950683333333,7.17136478072377,0.144130984002821,TRUE
"1941",-3,"Nano-QuIC","OBEX",4,8.53503045797872,3.93082323333333,4.28055566247888,0.233654942776577,TRUE
"1941",-3,"Nano-QuIC","RAMALT",4,10.2260950588528,4.009871,9.23551172857922,0.108287070945742,TRUE
"1941",-3,"Nano-QuIC","RPLN",4,10.0090234115601,3.6676835,8.33023150727836,0.12036868883329,TRUE
"1941",-3,"RT-QuIC","OBEX",4,9.218115907903,5.34898456666667,6.38443091621048,0.169112238405088,TRUE
"1941",-3,"RT-QuIC","RAMALT",4,17.2853447173915,9.28106186666667,12.3129442059204,0.081624073303961,TRUE
"1941",-3,"RT-QuIC","RPLN",4,13.3368307864143,7.5252342,13.2170063400415,0.076380826674602,TRUE
"1941",-2,"Nano-QuIC","RAMALT",4,10.6574818808198,2.85249903333333,18.8676414450399,0.0533019229016793,TRUE
"1941",-2,"Nano-QuIC","RPLN",4,7.79199977199211,2.6757198,9.82004192369518,0.102317943211879,TRUE
"1941",-2,"RT-QuIC","RAMALT",4,13.7694103928156,1.77226916666667,44.4956086096559,0.0264619623483739,TRUE
"1941",-2,"RT-QuIC","RPLN",4,18.461230130481,12.1764955,54.5159161490683,0.0218666096647902,FALSE
"1942",-4,"Nano-QuIC","OBEX",4,11.1679926668526,5.18575153333333,5.6265603100317,0.178402985170122,TRUE
