"Sample IDs","Treatment","Dilutions","Assay","Reaction","MPR","MS","TtT","RAF","crossed"
"pos","C",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",13.0150943396226,4.7345912,62.1209677419355,0.0160976243022199,TRUE
NA,"P",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",11.981308411215,5.27518173333333,8.05905077262693,0.124084092309799,TRUE
"pos","A",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.1,1.10909066666667,96,0.0104166666666667,FALSE
"pos","A",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.96875,0.773809333333333,96,0.0104166666666667,FALSE
"pos","A",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",4.41960784313726,1.10326786666667,37.4736842105263,0.026685393258427,TRUE
"pos","A",-4,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.64935064935065,0.558441333333333,96,0.0104166666666667,FALSE
"pos","B",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.23897058823529,0.681372,96,0.0104166666666667,FALSE
"pos","B",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",3.08225108225108,0.773449333333333,63.5,0.015748031496063,TRUE
"pos","B",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",6.875,2.3064516,46.46875,0.0215198386012105,TRUE
"pos","B",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.55813953488372,0.584717333333333,96,0.0104166666666667,FALSE
"pos","C",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.07531380753138,0.669456,96,0.0104166666666667,FALSE
"pos","C",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",4.42553191489362,0.692198666666667,73.4722222222222,0.0136105860113422,TRUE
"pos","C",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",5.79775280898876,2.4918852,94.3214285714286,0.0106020446800454,TRUE
NA,"N",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.70358306188925,0.521172,96,0.0104166666666667,FALSE
"pos","A",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.13122171945701,1.01357466666667,96,0.0104166666666667,FALSE
"pos","A",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.95652173913043,0.707246666666667,96,0.0104166666666667,FALSE
"pos","A",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",3.13513513513514,1.02445333333333,38.53125,0.0259529602595296,TRUE
"pos","A",-4,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.60517799352751,0.548004,96,0.0104166666666667,FALSE
"pos","B",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.23321554770318,0.654888,96,0.0104166666666667,FALSE
"pos","B",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",3,0.721030666666667,82.25,0.0121580547112462,TRUE
"pos","B",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",7.20622568093385,2.23086906666667,69.0159574468085,0.0144894026974952,TRUE
"pos","B",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.60726072607261,0.572057333333333,96,0.0104166666666667,FALSE
"pos","C",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",1.9917695473251,0.576132,96,0.0104166666666667,FALSE
"pos","C",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",3.73931623931624,0.700854666666667,80,0.0125,TRUE
"pos","C",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.8364312267658,0.565056,96,0.0104166666666667,FALSE
NA,"N",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.68387096774194,0.352688,96,0.0104166666666667,FALSE
"pos","A",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.14611872146119,0.694064,96,0.0104166666666667,FALSE
"pos","A",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.87012987012987,0.733045333333333,96,0.0104166666666667,FALSE
"pos","A",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",6.95736434108527,2.5478036,35.7166666666667,0.0279981334577695,TRUE
"pos","A",-4,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.57741935483871,0.516129333333333,96,0.0104166666666667,FALSE
"pos","B",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.30072463768116,0.574878666666667,96,0.0104166666666667,FALSE
"pos","B",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.82186234817814,0.6153852,96,0.0104166666666667,FALSE
"pos","B",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",6.13095238095238,1.71428573333333,73.7689873417721,0.0135558320106388,TRUE
"pos","B",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.47727272727273,0.5108224,96,0.0104166666666667,FALSE
"pos","C",0,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.2479674796748,0.943089466666667,96,0.0104166666666667,FALSE
"pos","C",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.90295358649789,0.624472,96,0.0104166666666667,FALSE
"pos","C",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.77099236641221,0.585241333333333,96,0.0104166666666667,FALSE
NA,"N",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.62616822429907,0.427829733333333,96,0.0104166666666667,FALSE
"pos","A",-1,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.2,0.849612,96,0.0104166666666667,FALSE
"pos","A",-2,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",2.79059829059829,0.809117333333333,96,0.0104166666666667,FALSE
"pos","A",-3,"Nano-QuIC","20250808_r12_GR_USDA-blood_Nano-QuIC",14.5171102661597,6.11913813333333,60.5283018867925,0.0165211970074813,TRUE
